Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
itemReg,Firefox 57.0,,2018-12-19 13:51:12,2018-12-19 13:54:41,3m - 28.853s,ERROR
,,,,,,
Test Cases/logIn,Firefox 57.0,,2018-12-19 13:51:13,2018-12-19 13:54:39,3m - 26.012s,PASSED
openBrowser,Firefox 57.0,,2018-12-19 13:51:13,2018-12-19 13:51:46,32.825s,PASSED
navigateToUrl,Firefox 57.0,,2018-12-19 13:51:46,2018-12-19 13:51:49,2.595s,PASSED
setText,Firefox 57.0,,2018-12-19 13:51:49,2018-12-19 13:51:49,0.332s,PASSED
setEncryptedText,Firefox 57.0,,2018-12-19 13:51:49,2018-12-19 13:51:50,0.810s,PASSED
click,Firefox 57.0,,2018-12-19 13:51:50,2018-12-19 13:54:12,2m - 22.376s,PASSED
navigateToUrl,Firefox 57.0,,2018-12-19 13:54:12,2018-12-19 13:54:39,26.691s,PASSED
,,,,,,
Test Cases/itemReg,Firefox 57.0,,2018-12-19 13:54:39,2018-12-19 13:54:39,0.492s,ERROR
click,Firefox 57.0,,2018-12-19 13:54:39,2018-12-19 13:54:39,0.233s,PASSED
setText,Firefox 57.0,,2018-12-19 13:54:39,2018-12-19 13:54:39,0.008s,PASSED
,,,,,,
Test Cases/itemReg,Firefox 57.0,,2018-12-19 13:54:39,2018-12-19 13:54:40,0.276s,ERROR
click,Firefox 57.0,,2018-12-19 13:54:39,2018-12-19 13:54:40,0.249s,PASSED
setText,Firefox 57.0,,2018-12-19 13:54:40,2018-12-19 13:54:40,0.005s,PASSED
,,,,,,
Test Cases/itemReg,Firefox 57.0,,2018-12-19 13:54:40,2018-12-19 13:54:40,0.255s,ERROR
click,Firefox 57.0,,2018-12-19 13:54:40,2018-12-19 13:54:40,0.226s,PASSED
setText,Firefox 57.0,,2018-12-19 13:54:40,2018-12-19 13:54:40,0.004s,PASSED
