Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
itemReg,Chrome 70.0.3538.110,,2018-12-19 20:27:36,2018-12-19 20:28:38,1m - 1.409s,FAILED
,,,,,,
Test Cases/logIn,Chrome 70.0.3538.110,,2018-12-19 20:27:37,2018-12-19 20:27:52,15.118s,PASSED
openBrowser,Chrome 70.0.3538.110,,2018-12-19 20:27:37,2018-12-19 20:27:43,5.513s,PASSED
navigateToUrl,Chrome 70.0.3538.110,,2018-12-19 20:27:43,2018-12-19 20:27:47,3.933s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-19 20:27:47,2018-12-19 20:27:47,0.438s,PASSED
setEncryptedText,Chrome 70.0.3538.110,,2018-12-19 20:27:47,2018-12-19 20:27:48,0.344s,PASSED
click,Chrome 70.0.3538.110,,2018-12-19 20:27:48,2018-12-19 20:27:52,4.307s,PASSED
,,,,,,
Test Cases/ItemRegURL,Chrome 70.0.3538.110,,2018-12-19 20:27:52,2018-12-19 20:27:56,3.964s,PASSED
navigateToUrl,Chrome 70.0.3538.110,,2018-12-19 20:27:52,2018-12-19 20:27:56,3.685s,PASSED
,,,,,,
Test Cases/itemReg,Chrome 70.0.3538.110,,2018-12-19 20:27:56,2018-12-19 20:28:00,3.748s,PASSED
click,Chrome 70.0.3538.110,,2018-12-19 20:27:56,2018-12-19 20:27:56,0.196s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-19 20:27:56,2018-12-19 20:27:57,0.918s,PASSED
selectOptionByValue,Chrome 70.0.3538.110,,2018-12-19 20:27:57,2018-12-19 20:27:58,0.361s,PASSED
selectOptionByValue,Chrome 70.0.3538.110,,2018-12-19 20:27:58,2018-12-19 20:27:58,0.388s,PASSED
selectOptionByValue,Chrome 70.0.3538.110,,2018-12-19 20:27:58,2018-12-19 20:27:58,0.287s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-19 20:27:58,2018-12-19 20:27:59,0.283s,PASSED
click,Chrome 70.0.3538.110,,2018-12-19 20:27:59,2018-12-19 20:27:59,0.210s,PASSED
click,Chrome 70.0.3538.110,,2018-12-19 20:27:59,2018-12-19 20:28:00,0.752s,PASSED
,,,,,,
Test Cases/itemReg,Chrome 70.0.3538.110,,2018-12-19 20:28:00,2018-12-19 20:28:35,34.922s,FAILED
click,Chrome 70.0.3538.110,,2018-12-19 20:28:00,2018-12-19 20:28:00,0.174s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-19 20:28:00,2018-12-19 20:28:00,0.335s,PASSED
selectOptionByValue,Chrome 70.0.3538.110,,2018-12-19 20:28:00,2018-12-19 20:28:00,0.291s,PASSED
selectOptionByValue,Chrome 70.0.3538.110,,2018-12-19 20:28:00,2018-12-19 20:28:01,0.319s,PASSED
selectOptionByValue,Chrome 70.0.3538.110,,2018-12-19 20:28:01,2018-12-19 20:28:01,0.255s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-19 20:28:01,2018-12-19 20:28:01,0.219s,PASSED
click,Chrome 70.0.3538.110,,2018-12-19 20:28:01,2018-12-19 20:28:01,0.099s,PASSED
click,Chrome 70.0.3538.110,,2018-12-19 20:28:01,2018-12-19 20:28:34,33.137s,FAILED
,,,,,,
Test Cases/itemReg,Chrome 70.0.3538.110,,2018-12-19 20:28:35,2018-12-19 20:28:36,1.881s,FAILED
click,Chrome 70.0.3538.110,,2018-12-19 20:28:35,2018-12-19 20:28:35,0.152s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-19 20:28:35,2018-12-19 20:28:35,0.282s,PASSED
selectOptionByValue,Chrome 70.0.3538.110,,2018-12-19 20:28:35,2018-12-19 20:28:35,0.187s,PASSED
selectOptionByValue,Chrome 70.0.3538.110,,2018-12-19 20:28:35,2018-12-19 20:28:35,0.206s,PASSED
selectOptionByValue,Chrome 70.0.3538.110,,2018-12-19 20:28:35,2018-12-19 20:28:36,0.646s,FAILED
