Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
itemReg,Chrome 70.0.3538.110,,2018-12-19 20:23:09,2018-12-19 20:24:03,53.486s,PASSED
,,,,,,
Test Cases/logIn,Chrome 70.0.3538.110,,2018-12-19 20:23:10,2018-12-19 20:23:52,41.874s,PASSED
openBrowser,Chrome 70.0.3538.110,,2018-12-19 20:23:11,2018-12-19 20:23:40,29.440s,PASSED
navigateToUrl,Chrome 70.0.3538.110,,2018-12-19 20:23:40,2018-12-19 20:23:41,0.980s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-19 20:23:41,2018-12-19 20:23:42,0.404s,PASSED
setEncryptedText,Chrome 70.0.3538.110,,2018-12-19 20:23:42,2018-12-19 20:23:43,1.691s,PASSED
click,Chrome 70.0.3538.110,,2018-12-19 20:23:43,2018-12-19 20:23:48,4.903s,PASSED
navigateToUrl,Chrome 70.0.3538.110,,2018-12-19 20:23:48,2018-12-19 20:23:52,3.730s,PASSED
,,,,,,
Test Cases/itemReg,Chrome 70.0.3538.110,,2018-12-19 20:23:52,2018-12-19 20:23:56,4.271s,PASSED
click,Chrome 70.0.3538.110,,2018-12-19 20:23:52,2018-12-19 20:23:52,0.197s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-19 20:23:52,2018-12-19 20:23:53,0.963s,PASSED
selectOptionByValue,Chrome 70.0.3538.110,,2018-12-19 20:23:53,2018-12-19 20:23:54,0.947s,PASSED
selectOptionByValue,Chrome 70.0.3538.110,,2018-12-19 20:23:54,2018-12-19 20:23:55,0.370s,PASSED
selectOptionByValue,Chrome 70.0.3538.110,,2018-12-19 20:23:55,2018-12-19 20:23:55,0.278s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-19 20:23:55,2018-12-19 20:23:55,0.266s,PASSED
click,Chrome 70.0.3538.110,,2018-12-19 20:23:55,2018-12-19 20:23:55,0.170s,PASSED
click,Chrome 70.0.3538.110,,2018-12-19 20:23:55,2018-12-19 20:23:56,0.715s,PASSED
,,,,,,
Test Cases/itemReg,Chrome 70.0.3538.110,,2018-12-19 20:23:56,2018-12-19 20:23:59,2.622s,PASSED
click,Chrome 70.0.3538.110,,2018-12-19 20:23:56,2018-12-19 20:23:56,0.190s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-19 20:23:56,2018-12-19 20:23:57,0.324s,PASSED
selectOptionByValue,Chrome 70.0.3538.110,,2018-12-19 20:23:57,2018-12-19 20:23:57,0.380s,PASSED
selectOptionByValue,Chrome 70.0.3538.110,,2018-12-19 20:23:57,2018-12-19 20:23:58,0.359s,PASSED
selectOptionByValue,Chrome 70.0.3538.110,,2018-12-19 20:23:58,2018-12-19 20:23:58,0.266s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-19 20:23:58,2018-12-19 20:23:58,0.245s,PASSED
click,Chrome 70.0.3538.110,,2018-12-19 20:23:58,2018-12-19 20:23:58,0.139s,PASSED
click,Chrome 70.0.3538.110,,2018-12-19 20:23:58,2018-12-19 20:23:59,0.684s,PASSED
,,,,,,
Test Cases/itemReg,Chrome 70.0.3538.110,,2018-12-19 20:23:59,2018-12-19 20:24:01,2.485s,PASSED
click,Chrome 70.0.3538.110,,2018-12-19 20:23:59,2018-12-19 20:23:59,0.112s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-19 20:23:59,2018-12-19 20:23:59,0.309s,PASSED
selectOptionByValue,Chrome 70.0.3538.110,,2018-12-19 20:23:59,2018-12-19 20:24:00,0.291s,PASSED
selectOptionByValue,Chrome 70.0.3538.110,,2018-12-19 20:24:00,2018-12-19 20:24:00,0.507s,PASSED
selectOptionByValue,Chrome 70.0.3538.110,,2018-12-19 20:24:00,2018-12-19 20:24:00,0.259s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-19 20:24:00,2018-12-19 20:24:01,0.224s,PASSED
click,Chrome 70.0.3538.110,,2018-12-19 20:24:01,2018-12-19 20:24:01,0.095s,PASSED
click,Chrome 70.0.3538.110,,2018-12-19 20:24:01,2018-12-19 20:24:01,0.670s,PASSED
