Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
itemReg,Chrome 71.0.3578.98,,2018-12-19 12:58:38,2018-12-19 13:02:58,4m - 20.204s,ERROR
,,,,,,
Test Cases/logIn,Chrome 71.0.3578.98,,2018-12-19 12:58:38,2018-12-19 13:02:57,4m - 18.676s,PASSED
openBrowser,Chrome 71.0.3578.98,,2018-12-19 12:58:39,2018-12-19 12:58:44,5.076s,PASSED
navigateToUrl,Chrome 71.0.3578.98,,2018-12-19 12:58:44,2018-12-19 12:58:51,6.833s,PASSED
setText,Chrome 71.0.3578.98,,2018-12-19 12:58:51,2018-12-19 12:58:51,0.452s,PASSED
setEncryptedText,Chrome 71.0.3578.98,,2018-12-19 12:58:51,2018-12-19 12:58:51,0.174s,PASSED
click,Chrome 71.0.3578.98,,2018-12-19 12:58:51,2018-12-19 13:01:58,3m - 6.959s,PASSED
navigateToUrl,Chrome 71.0.3578.98,,2018-12-19 13:01:58,2018-12-19 13:02:57,58.847s,PASSED
,,,,,,
Test Cases/itemReg,Chrome 71.0.3578.98,,2018-12-19 13:02:57,2018-12-19 13:02:57,0.373s,ERROR
click,Chrome 71.0.3578.98,,2018-12-19 13:02:57,2018-12-19 13:02:57,0.167s,PASSED
setText,Chrome 71.0.3578.98,,2018-12-19 13:02:57,2018-12-19 13:02:57,0.008s,PASSED
