Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
itemReg,Chrome 70.0.3538.110,,2018-12-19 20:37:33,2018-12-19 20:37:59,26.244s,PASSED
,,,,,,
Test Cases/logIn,Chrome 70.0.3538.110,,2018-12-19 20:37:33,2018-12-19 20:37:45,12.355s,PASSED
openBrowser,Chrome 70.0.3538.110,,2018-12-19 20:37:34,2018-12-19 20:37:37,3.807s,PASSED
navigateToUrl,Chrome 70.0.3538.110,,2018-12-19 20:37:37,2018-12-19 20:37:40,2.333s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-19 20:37:40,2018-12-19 20:37:41,0.750s,PASSED
setEncryptedText,Chrome 70.0.3538.110,,2018-12-19 20:37:41,2018-12-19 20:37:41,0.325s,PASSED
click,Chrome 70.0.3538.110,,2018-12-19 20:37:41,2018-12-19 20:37:45,4.595s,PASSED
,,,,,,
Test Cases/ItemRegURL,Chrome 70.0.3538.110,,2018-12-19 20:37:45,2018-12-19 20:37:49,3.639s,PASSED
navigateToUrl,Chrome 70.0.3538.110,,2018-12-19 20:37:46,2018-12-19 20:37:49,3.345s,PASSED
,,,,,,
Test Cases/itemReg,Chrome 70.0.3538.110,,2018-12-19 20:37:49,2018-12-19 20:37:53,3.940s,PASSED
click,Chrome 70.0.3538.110,,2018-12-19 20:37:49,2018-12-19 20:37:50,0.197s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-19 20:37:50,2018-12-19 20:37:50,0.821s,PASSED
selectOptionByValue,Chrome 70.0.3538.110,,2018-12-19 20:37:50,2018-12-19 20:37:51,0.360s,PASSED
selectOptionByValue,Chrome 70.0.3538.110,,2018-12-19 20:37:51,2018-12-19 20:37:51,0.381s,PASSED
selectOptionByValue,Chrome 70.0.3538.110,,2018-12-19 20:37:51,2018-12-19 20:37:51,0.255s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-19 20:37:51,2018-12-19 20:37:52,0.236s,PASSED
click,Chrome 70.0.3538.110,,2018-12-19 20:37:52,2018-12-19 20:37:52,0.151s,PASSED
click,Chrome 70.0.3538.110,,2018-12-19 20:37:52,2018-12-19 20:37:53,1.195s,PASSED
,,,,,,
Test Cases/itemReg,Chrome 70.0.3538.110,,2018-12-19 20:37:53,2018-12-19 20:37:55,2.319s,PASSED
click,Chrome 70.0.3538.110,,2018-12-19 20:37:53,2018-12-19 20:37:53,0.169s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-19 20:37:53,2018-12-19 20:37:53,0.248s,PASSED
selectOptionByValue,Chrome 70.0.3538.110,,2018-12-19 20:37:53,2018-12-19 20:37:54,0.329s,PASSED
selectOptionByValue,Chrome 70.0.3538.110,,2018-12-19 20:37:54,2018-12-19 20:37:54,0.316s,PASSED
selectOptionByValue,Chrome 70.0.3538.110,,2018-12-19 20:37:54,2018-12-19 20:37:54,0.244s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-19 20:37:54,2018-12-19 20:37:55,0.228s,PASSED
click,Chrome 70.0.3538.110,,2018-12-19 20:37:55,2018-12-19 20:37:55,0.098s,PASSED
click,Chrome 70.0.3538.110,,2018-12-19 20:37:55,2018-12-19 20:37:55,0.668s,PASSED
,,,,,,
Test Cases/itemReg,Chrome 70.0.3538.110,,2018-12-19 20:37:55,2018-12-19 20:37:58,2.349s,PASSED
click,Chrome 70.0.3538.110,,2018-12-19 20:37:55,2018-12-19 20:37:55,0.112s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-19 20:37:55,2018-12-19 20:37:56,0.241s,PASSED
selectOptionByValue,Chrome 70.0.3538.110,,2018-12-19 20:37:56,2018-12-19 20:37:56,0.332s,PASSED
selectOptionByValue,Chrome 70.0.3538.110,,2018-12-19 20:37:56,2018-12-19 20:37:56,0.311s,PASSED
selectOptionByValue,Chrome 70.0.3538.110,,2018-12-19 20:37:56,2018-12-19 20:37:57,0.236s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-19 20:37:57,2018-12-19 20:37:57,0.222s,PASSED
click,Chrome 70.0.3538.110,,2018-12-19 20:37:57,2018-12-19 20:37:57,0.209s,PASSED
click,Chrome 70.0.3538.110,,2018-12-19 20:37:57,2018-12-19 20:37:58,0.669s,PASSED
