Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
itemReg,Chrome 70.0.3538.110,,2018-12-19 20:31:42,2018-12-19 20:33:11,1m - 29.562s,FAILED
,,,,,,
Test Cases/logIn,Chrome 70.0.3538.110,,2018-12-19 20:31:42,2018-12-19 20:31:54,11.834s,PASSED
openBrowser,Chrome 70.0.3538.110,,2018-12-19 20:31:43,2018-12-19 20:31:47,4.055s,PASSED
navigateToUrl,Chrome 70.0.3538.110,,2018-12-19 20:31:47,2018-12-19 20:31:49,2.000s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-19 20:31:49,2018-12-19 20:31:49,0.452s,PASSED
setEncryptedText,Chrome 70.0.3538.110,,2018-12-19 20:31:49,2018-12-19 20:31:50,0.396s,PASSED
click,Chrome 70.0.3538.110,,2018-12-19 20:31:50,2018-12-19 20:31:54,4.373s,PASSED
,,,,,,
Test Cases/ItemRegURL,Chrome 70.0.3538.110,,2018-12-19 20:31:54,2018-12-19 20:31:57,3.310s,PASSED
navigateToUrl,Chrome 70.0.3538.110,,2018-12-19 20:31:54,2018-12-19 20:31:57,2.999s,PASSED
,,,,,,
Test Cases/itemReg,Chrome 70.0.3538.110,,2018-12-19 20:31:57,2018-12-19 20:32:01,3.975s,PASSED
click,Chrome 70.0.3538.110,,2018-12-19 20:31:58,2018-12-19 20:31:58,0.183s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-19 20:31:58,2018-12-19 20:31:59,0.855s,PASSED
selectOptionByValue,Chrome 70.0.3538.110,,2018-12-19 20:31:59,2018-12-19 20:31:59,0.362s,PASSED
selectOptionByValue,Chrome 70.0.3538.110,,2018-12-19 20:31:59,2018-12-19 20:31:59,0.352s,PASSED
selectOptionByValue,Chrome 70.0.3538.110,,2018-12-19 20:31:59,2018-12-19 20:32:00,0.273s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-19 20:32:00,2018-12-19 20:32:00,0.279s,PASSED
click,Chrome 70.0.3538.110,,2018-12-19 20:32:00,2018-12-19 20:32:00,0.155s,PASSED
click,Chrome 70.0.3538.110,,2018-12-19 20:32:00,2018-12-19 20:32:01,1.211s,PASSED
,,,,,,
Test Cases/itemReg,Chrome 70.0.3538.110,,2018-12-19 20:32:01,2018-12-19 20:32:36,34.683s,FAILED
click,Chrome 70.0.3538.110,,2018-12-19 20:32:01,2018-12-19 20:32:01,0.161s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-19 20:32:01,2018-12-19 20:32:02,0.332s,PASSED
selectOptionByValue,Chrome 70.0.3538.110,,2018-12-19 20:32:02,2018-12-19 20:32:02,0.294s,PASSED
selectOptionByValue,Chrome 70.0.3538.110,,2018-12-19 20:32:02,2018-12-19 20:32:02,0.307s,PASSED
selectOptionByValue,Chrome 70.0.3538.110,,2018-12-19 20:32:02,2018-12-19 20:32:03,0.254s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-19 20:32:03,2018-12-19 20:32:03,0.217s,PASSED
click,Chrome 70.0.3538.110,,2018-12-19 20:32:03,2018-12-19 20:32:03,0.099s,PASSED
click,Chrome 70.0.3538.110,,2018-12-19 20:32:03,2018-12-19 20:32:36,32.949s,FAILED
,,,,,,
Test Cases/itemReg,Chrome 70.0.3538.110,,2018-12-19 20:32:36,2018-12-19 20:33:10,34.208s,FAILED
click,Chrome 70.0.3538.110,,2018-12-19 20:32:36,2018-12-19 20:32:36,0.115s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-19 20:32:36,2018-12-19 20:32:36,0.275s,PASSED
selectOptionByValue,Chrome 70.0.3538.110,,2018-12-19 20:32:36,2018-12-19 20:32:36,0.176s,PASSED
selectOptionByValue,Chrome 70.0.3538.110,,2018-12-19 20:32:36,2018-12-19 20:32:37,0.205s,PASSED
selectOptionByValue,Chrome 70.0.3538.110,,2018-12-19 20:32:37,2018-12-19 20:32:37,0.136s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-19 20:32:37,2018-12-19 20:32:37,0.453s,PASSED
click,Chrome 70.0.3538.110,,2018-12-19 20:32:37,2018-12-19 20:32:37,0.089s,PASSED
click,Chrome 70.0.3538.110,,2018-12-19 20:32:37,2018-12-19 20:33:10,32.688s,FAILED
